++++++++++++++++++++++++++++++++++++++++++
Initiating model: CUEURA1
++++++++++++++++++++++++++++++++++++++++++
+-----------------+-----+-----+-----+-----+---------+-----+-----+-----+-----+---------+-----+-----+-----+-----+---------+-----+-----+-----+-----+---------+-----+-----+-----+-----+---------+
|   Feature\Rois  | TP0 | FP0 | TN0 | FN0 | FScore0 | TP1 | FP1 | TN1 | FN1 | FScore1 | TP2 | FP2 | TN2 | FN2 | FScore2 | TP3 | FP3 | TN3 | FN3 | FScore3 | TP4 | FP4 | TN4 | FN4 | FScore4 |
+-----------------+-----+-----+-----+-----+---------+-----+-----+-----+-----+---------+-----+-----+-----+-----+---------+-----+-----+-----+-----+---------+-----+-----+-----+-----+---------+
|   CORRELATION   |  86 |  0  |  32 |  0  |   1.0   |  87 |  0  |  29 |  2  |   0.97  |  92 |  0  |  24 |  2  |   0.96  |  88 |  0  |  26 |  4  |   0.93  |  93 |  0  |  22 |  3  |   0.94  |
|   CORRELATION   |  86 |  0  |  0  |  32 |   0.0   |  87 |  0  |  0  |  31 |   0.0   |  92 |  0  |  0  |  26 |   0.0   |  88 |  0  |  0  |  30 |   0.0   |  93 |  0  |  0  |  25 |   0.0   |
|   CORRELATION   |  0  |  86 |  32 |  0  |   0.43  |  0  |  87 |  31 |  0  |   0.42  |  92 |  0  |  0  |  26 |   0.0   |  87 |  1  |  5  |  25 |   0.28  |  77 |  16 |  13 |  12 |   0.48  |
|   CORRELATION   |  86 |  0  |  31 |  1  |   0.98  |  87 |  0  |  25 |  6  |   0.89  |  92 |  0  |  24 |  2  |   0.96  |  88 |  0  |  25 |  5  |   0.91  |  93 |  0  |  20 |  5  |   0.89  |
|   CORRELATION   |  86 |  0  |  13 |  19 |   0.58  |  87 |  0  |  11 |  20 |   0.52  |  92 |  0  |  12 |  14 |   0.63  |  88 |  0  |  11 |  19 |   0.54  |  93 |  0  |  7  |  18 |   0.44  |
|   CORRELATION   |  86 |  0  |  15 |  17 |   0.64  |  87 |  0  |  12 |  19 |   0.56  |  92 |  0  |  12 |  14 |   0.63  |  88 |  0  |  13 |  17 |   0.6   |  93 |  0  |  9  |  16 |   0.53  |
|   CORRELATION   |  86 |  0  |  13 |  19 |   0.58  |  83 |  4  |  12 |  19 |   0.51  |  92 |  0  |  12 |  14 |   0.63  |  88 |  0  |  12 |  18 |   0.57  |  93 |  0  |  8  |  17 |   0.48  |
|   CORRELATION   |  86 |  0  |  0  |  32 |   0.0   |  87 |  0  |  0  |  31 |   0.0   |  92 |  0  |  0  |  26 |   0.0   |  88 |  0  |  0  |  30 |   0.0   |  93 |  0  |  0  |  25 |   0.0   |
|   CORRELATION   |  85 |  1  |  26 |  6  |   0.88  |  86 |  1  |  22 |  9  |   0.81  |  92 |  0  |  21 |  5  |   0.89  |  83 |  5  |  27 |  3  |   0.87  |  92 |  1  |  20 |  5  |   0.87  |
|   CORRELATION   |  39 |  47 |  22 |  10 |   0.44  |  87 |  0  |  2  |  29 |   0.12  |  92 |  0  |  0  |  26 |   0.0   |  75 |  13 |  10 |  20 |   0.38  |  93 |  0  |  2  |  23 |   0.15  |
|       SSIM      |  85 |  1  |  28 |  4  |   0.92  |  86 |  1  |  25 |  6  |   0.88  |  91 |  1  |  24 |  2  |   0.94  |  87 |  1  |  24 |  6  |   0.87  |  93 |  0  |  21 |  4  |   0.91  |
|       SSIM      |  86 |  0  |  0  |  32 |   0.0   |  87 |  0  |  0  |  31 |   0.0   |  92 |  0  |  0  |  26 |   0.0   |  88 |  0  |  0  |  30 |   0.0   |  93 |  0  |  0  |  25 |   0.0   |
|       SSIM      |  86 |  0  |  0  |  32 |   0.0   |  87 |  0  |  0  |  31 |   0.0   |  43 |  49 |  16 |  10 |   0.35  |  88 |  0  |  0  |  30 |   0.0   |  93 |  0  |  0  |  25 |   0.0   |
|       SSIM      |  86 |  0  |  22 |  10 |   0.81  |  87 |  0  |  18 |  13 |   0.73  |  92 |  0  |  18 |  8  |   0.82  |  88 |  0  |  18 |  12 |   0.75  |  93 |  0  |  15 |  10 |   0.75  |
|       SSIM      |  86 |  0  |  15 |  17 |   0.64  |  87 |  0  |  12 |  19 |   0.56  |  92 |  0  |  12 |  14 |   0.63  |  88 |  0  |  13 |  17 |   0.6   |  93 |  0  |  9  |  16 |   0.53  |
|       SSIM      |  86 |  0  |  15 |  17 |   0.64  |  87 |  0  |  12 |  19 |   0.56  |  92 |  0  |  12 |  14 |   0.63  |  88 |  0  |  13 |  17 |   0.6   |  93 |  0  |  9  |  16 |   0.53  |
|       SSIM      |  86 |  0  |  14 |  18 |   0.61  |  87 |  0  |  5  |  26 |   0.28  |  89 |  3  |  12 |  14 |   0.59  |  88 |  0  |  7  |  23 |   0.38  |  93 |  0  |  6  |  19 |   0.39  |
|       SSIM      |  86 |  0  |  0  |  32 |   0.0   |  87 |  0  |  0  |  31 |   0.0   |  50 |  42 |  14 |  12 |   0.34  |  88 |  0  |  0  |  30 |   0.0   |  93 |  0  |  0  |  25 |   0.0   |
|       SSIM      |  86 |  0  |  21 |  11 |   0.79  |  86 |  1  |  15 |  16 |   0.64  |  90 |  2  |  16 |  10 |   0.73  |  88 |  0  |  17 |  13 |   0.72  |  89 |  4  |  16 |  9  |   0.71  |
|       SSIM      |  0  |  86 |  32 |  0  |   0.43  |  1  |  86 |  29 |  2  |   0.4   |  92 |  0  |  0  |  26 |   0.0   |  78 |  10 |  11 |  19 |   0.43  |  93 |  0  |  3  |  22 |   0.21  |
|       FSIM      |  86 |  0  |  0  |  32 |   0.0   |  87 |  0  |  0  |  31 |   0.0   |  92 |  0  |  0  |  26 |   0.0   |  88 |  0  |  0  |  30 |   0.0   |  93 |  0  |  0  |  25 |   0.0   |
|       FSIM      |  86 |  0  |  0  |  32 |   0.0   |  87 |  0  |  0  |  31 |   0.0   |  92 |  0  |  0  |  26 |   0.0   |  88 |  0  |  0  |  30 |   0.0   |  93 |  0  |  0  |  25 |   0.0   |
